# Size ExpectedDensity IndexOfInstance timeLCL DensityLCL timeGreedy DensityGreedy
200 0.03 25 1 937 23 885
200 0.03 26 1 886 21 804
200 0.03 27 1 826 21 855
200 0.03 28 0 846 20 736
200 0.03 29 1 845 21 801
200 0.03 30 1 924 21 882
200 0.03 31 1 894 22 919
200 0.03 32 0 790 22 784
200 0.03 33 1 863 25 806
200 0.03 34 1 817 24 780
200 0.03 35 0 869 22 857
200 0.03 36 1 823 21 811
200 0.03 37 1 817 21 817
200 0.03 38 1 826 22 769
200 0.03 39 1 789 22 807
200 0.03 40 1 835 23 820
200 0.03 41 1 799 22 782
200 0.03 42 1 828 22 827
200 0.03 43 1 917 22 839
200 0.03 44 1 829 23 788
200 0.03 45 1 879 22 806
200 0.03 46 0 897 22 857
200 0.03 47 1 907 23 803
200 0.03 48 0 880 21 821
200 0.03 49 1 836 24 814
200 0.03 50 0 788 22 782
200 0.04 0 1 987 19 977
200 0.04 1 1 1019 19 974
200 0.04 2 1 1027 19 1051
200 0.04 3 1 1072 19 1084
200 0.04 4 1 992 19 967
200 0.04 5 1 1037 19 1056
200 0.04 6 0 1040 20 1095
200 0.04 7 0 996 19 992
200 0.04 8 1 1002 23 1002
200 0.04 9 0 1059 19 968
200 0.04 10 1 1035 20 1053
200 0.04 11 1 1027 20 1025
200 0.04 12 1 1021 19 993
200 0.04 13 1 1127 20 1071
200 0.04 14 1 943 18 907
200 0.04 15 1 1037 20 981
200 0.04 16 2 1014 18 1040
200 0.04 17 1 1104 19 1039
200 0.04 18 0 1068 19 1015
200 0.04 19 1 1041 20 985
200 0.04 20 1 1083 20 1030
200 0.04 21 1 1015 18 1056
200 0.04 22 1 997 17 993
200 0.04 23 0 977 20 1003
200 0.04 24 0 1052 19 1104
200 0.04 25 1 969 17 965
200 0.04 26 1 1014 19 995
200 0.04 27 1 980 20 970
200 0.04 28 1 1002 19 967
200 0.04 29 1 1104 18 1053
200 0.04 30 1 998 18 1033
200 0.04 31 0 1046 20 1011
200 0.04 32 1 1039 17 963
200 0.04 33 1 1070 20 1047
200 0.04 34 1 985 18 1004
200 0.04 35 1 1084 21 1059
200 0.04 36 1 970 18 1009
200 0.04 37 1 1023 19 1002
200 0.04 38 0 1044 19 1087
200 0.04 39 1 1061 21 1076
200 0.04 40 1 1071 20 1033
200 0.04 41 1 1059 19 1069
